Date,Open,High,Low,Close,Adj Close,Volume
20150901,74.849998,75.360001,73.599998,74,74,6101100
20150902,74.900002,75.209999,73.970001,74.940002,74.940002,5914400
20150903,75.379997,76.25,75.050003,75.260002,75.260002,4783000
20150904,74.279999,74.519997,73.57,74.080002,74.080002,5095200
20150908,75.580002,75.730003,74.919998,75.489998,75.489998,6046300
20150909,76.080002,76.510002,74.980003,75.120003,75.120003,4959800
20150910,75.150002,75.860001,74.980003,75.309998,75.309998,4764600
20150911,75.080002,75.529999,74.790001,75.5,75.5,3843600
20150914,75.160004,75.5,74.779999,75.139999,75.139999,4452100
20150915,75.459999,76.75,75.230003,76.5,76.5,5473700
20150916,76.459999,77.510002,76.389999,77.32,77.32,4193100
20150917,77.459999,78.400002,76.769997,77.059998,77.059998,4181800
20150918,76.050003,76.800003,75.720001,75.949997,75.949997,12402900
20150921,76.419998,77.32,76.32,76.739998,76.739998,3266300
20150922,75.610001,75.769997,75,75.709999,75.709999,5047200
20150923,75.510002,75.959999,75.129997,75.629997,75.629997,3183300
20150924,74.989998,75.029999,73.849998,74.690002,74.690002,6108900
20150925,75.389999,75.669998,74.720001,75.099998,75.099998,4478000
20150928,74.459999,74.699997,73.260002,73.339996,73.339996,5894700
20150929,73.300003,73.510002,72.660004,73.099998,73.099998,5283000
20150930,73.889999,74.190002,73.300003,74.129997,74.129997,4912200
20151001,74.160004,74.599998,73.209999,73.889999,73.889999,4741100
20151002,72.699997,74.410004,72.5,74.410004,74.410004,5072400
20151005,75.050003,77.540001,75.040001,77.300003,77.300003,6480600
20151006,77.239998,77.540001,76.720001,76.910004,76.910004,3887100
20151007,76.809998,77.849998,76.68,77.18,77.18,3431800
20151008,76.989998,77.260002,76.110001,77.18,77.18,3298900
20151009,77.449997,77.82,76.830002,77.330002,77.330002,2651800
20151012,77.160004,77.32,76.940002,77.309998,77.309998,1895100
20151013,76.849998,77.220001,76.559998,76.599998,76.599998,3247400
20151014,76.410004,76.779999,75.940002,76.169998,76.169998,3098600
20151015,77,77.190002,76.07,76.739998,76.739998,3615800
20151016,77.080002,77.5,76.620003,77.209999,77.209999,5613700
20151019,76.949997,77.309998,76.730003,77,77,4054900
20151020,77.050003,77.150002,76.68,76.949997,76.949997,3443400
20151021,77.290001,77.610001,76.349998,76.510002,76.510002,5833500
20151022,73.059998,73.279999,71.389999,72.5,72.5,23652600
20151023,72.82,74.830002,72.620003,74.589996,74.589996,9341300
20151026,73.300003,74.330002,73.129997,74.190002,74.190002,5227700
20151027,73.790001,74.209999,73.730003,74.010002,74.010002,4099000
20151028,74.349998,74.449997,73.809998,74.449997,74.449997,7841100
20151029,74.150002,74.970001,74.040001,74.220001,74.220001,5250200
20151030,74.080002,74.279999,73.059998,73.260002,73.260002,6310100
20151102,73.43,74.07,73.269997,73.940002,73.940002,4940600
20151103,74.150002,74.269997,73.870003,74.029999,74.029999,5047900
20151104,74.309998,74.849998,73.940002,74.07,74.07,12872700
20151105,74.150002,74.330002,73.57,73.93,73.93,4983700
20151106,74.559998,74.800003,74.110001,74.300003,74.300003,7440800
20151109,74.080002,74.260002,73.230003,73.419998,73.419998,5622600
20151110,73.120003,73.580002,73.099998,73.370003,73.370003,4961900
20151111,73.459999,73.599998,72.760002,72.910004,72.910004,4719500
20151112,72.720001,72.790001,71.82,71.980003,71.980003,6112500
20151113,71.690002,72.209999,71.099998,71.199997,71.199997,4486700
