Date,Open,High,Low,Close,Adj Close,Volume
20150901,15.95,16.049999,15.46,15.58,15.58,119064000
20150902,15.82,15.86,15.57,15.85,15.85,74820400
20150903,15.97,16.190001,15.87,15.94,15.94,77175800
20150904,15.79,15.86,15.5,15.65,15.65,104539500
20150908,15.96,16.16,15.9,16.16,16.16,73960200
20150909,16.370001,16.459999,15.83,15.9,15.9,70466100
20150910,15.87,16.110001,15.81,16.040001,16.040001,71110200
20150911,15.99,16.059999,15.9,16.040001,16.040001,54287700
20150914,15.97,16.07,15.9,15.96,15.96,50640900
20150915,16.040001,16.389999,16.01,16.309999,16.309999,62327100
20150916,16.35,16.389999,16.09,16.33,16.33,83776400
20150917,16.290001,16.48,15.78,15.86,15.86,119088200
20150918,15.68,15.71,15.5,15.56,15.56,136531200
20150921,15.67,15.75,15.57,15.7,15.7,79096200
20150922,15.49,15.58,15.45,15.57,15.57,92235200
20150923,15.6,15.85,15.58,15.72,15.72,78117500
20150924,15.54,15.62,15.4,15.55,15.55,99520100
20150925,15.88,16.02,15.81,15.89,15.89,88655000
20150928,15.79,15.82,15.38,15.47,15.47,91324300
20150929,15.5,15.53,15.25,15.35,15.35,79829400
20150930,15.55,15.6,15.32,15.58,15.58,71347100
20151001,15.52,15.64,15.36,15.55,15.55,71516800
20151002,15.08,15.38,14.63,15.38,15.38,181838400
20151005,15.45,15.79,15.44,15.69,15.69,75315300
20151006,15.68,15.82,15.57,15.69,15.69,67473700
20151007,15.78,15.93,15.57,15.75,15.75,66655600
20151008,15.72,15.78,15.51,15.75,15.75,79056900
20151009,15.75,15.82,15.5,15.58,15.58,76667100
20151012,15.6,15.62,15.43,15.52,15.52,50725800
20151013,15.45,15.59,15.4,15.52,15.52,73689800
20151014,15.77,15.92,15.55,15.64,15.64,122272400
20151015,15.81,16.280001,15.72,16.190001,16.190001,127028800
20151016,16.290001,16.290001,16.030001,16.120001,16.120001,66989500
20151019,16,16.209999,15.98,16.139999,16.139999,62953500
20151020,16.16,16.290001,16.1,16.200001,16.200001,50692600
20151021,16.26,16.290001,15.9,15.9,15.9,64440400
20151022,16,16.200001,16,16.16,16.16,74116600
20151023,16.290001,16.549999,16.25,16.52,16.52,82285800
20151026,16.52,16.549999,16.34,16.51,16.51,67702800
20151027,16.4,16.469999,16.299999,16.4,16.4,56159300
20151028,16.450001,17.309999,16.450001,17.280001,17.280001,147720100
20151029,17.16,17.440001,16.969999,17.09,17.09,95542300
20151030,17.18,17.18,16.76,16.780001,16.780001,87645800
20151102,16.9,17.139999,16.870001,17.059999,17.059999,56948200
20151103,17.01,17.26,16.99,17.18,17.18,66127100
20151104,17.299999,17.309999,16.959999,17.01,17.01,78728400
20151105,17.030001,17.370001,17.030001,17.309999,17.309999,85505500
20151106,17.84,18.09,17.76,17.950001,17.950001,158037500
20151109,18.030001,18.08,17.559999,17.68,17.68,129920700
20151110,17.629999,17.940001,17.559999,17.85,17.85,59905800
20151111,17.99,17.99,17.68,17.75,17.75,59235000
20151112,17.58,17.629999,17.35,17.370001,17.370001,77850900
20151113,17.129999,17.309999,17.09,17.200001,17.200001,103574900
20151116,17.129999,17.459999,17.01,17.43,17.43,70384300
20151117,17.5,17.6,17.34,17.42,17.42,70488600
