Date,Open,High,Low,Close,Adj Close,Volume
20150901,27.860001,27.93,27.18,27.209999,27.209999,32000
20150902,27.469999,27.549999,26.82,26.940001,26.940001,41200
20150903,26.940001,27.59,26.9,27.219999,27.219999,73300
20150904,27.1,27.15,26.49,26.49,26.49,31900
20150908,26.719999,28,26.639999,27.700001,27.700001,81600
20150909,27.709999,27.780001,27,27.07,27.07,24300
20150910,27.049999,27.280001,26.540001,26.719999,26.719999,65600
20150911,26.620001,26.860001,26.440001,26.620001,26.620001,53300
20150914,26.620001,26.83,26.540001,26.690001,26.690001,28900
20150915,26.809999,26.959999,26.6,26.889999,26.889999,80600
20150916,26.92,27.719999,26.92,27.629999,27.629999,127300
20150917,27.41,28.17,27.41,28.030001,28.030001,63700
20150918,27.870001,28.16,27.33,27.33,27.33,62300
20150921,27.290001,28.4,27.290001,28.299999,28.299999,40200
20150922,27.889999,28.27,27.709999,27.790001,27.790001,40600
20150923,27.639999,28.120001,27.620001,27.77,27.77,28700
20150924,27.540001,27.66,26.92,27,27,37200
20150925,27.290001,27.690001,27.25,27.49,27.49,84500
20150928,27.280001,27.280001,26.360001,26.459999,26.459999,34000
20150929,26.41,26.82,26.41,26.780001,26.780001,20700
20150930,27.02,27.5,27.02,27.49,27.49,84300
20151001,27.639999,27.709999,27.030001,27.5,27.5,27900
20151002,27.370001,27.370001,27.049999,27.25,27.25,21900
20151005,27.27,28.75,27.27,28.68,28.68,30100
20151006,28.700001,28.700001,27.620001,27.639999,27.639999,22200
20151007,27.889999,27.889999,27.51,27.57,27.57,24700
20151008,27.790001,27.790001,27.17,27.32,27.32,37900
20151009,27.540001,28.5,27.34,28.1,28.1,35200
20151012,27.9,27.98,27.620001,27.85,27.85,19800
20151013,27.58,27.940001,27.290001,27.469999,27.469999,51800
20151014,27.5,27.639999,26.9,27.040001,27.040001,31400
20151015,27.209999,27.469999,27,27.129999,27.129999,26000
20151016,27.129999,27.200001,26.77,26.9,26.9,33600
20151019,26.82,27.129999,26.799999,27.110001,27.110001,39000
20151020,27.209999,27.77,27.209999,27.639999,27.639999,29800
20151021,27.74,27.74,26.860001,26.860001,26.860001,42300
20151022,27.1,27.530001,26.92,27.49,27.49,24900
20151023,27.59,27.59,27.18,27.24,27.24,34600
20151026,27.07,27.360001,26.860001,26.940001,26.940001,51200
20151027,26.85,26.860001,26.25,26.309999,26.309999,48900
20151028,26.290001,26.790001,26.290001,26.610001,26.610001,22200
20151029,26.700001,26.700001,26.379999,26.52,26.52,49000
20151030,26.41,26.73,26.379999,26.379999,26.379999,36000
20151102,26.51,26.84,26.33,26.6,26.6,67100
20151103,26.41,26.51,26.09,26.4,26.4,151300
20151104,26.620001,26.620001,25.43,25.52,25.52,123800
20151105,25.52,26.219999,25.35,26.16,26.16,59200
20151106,26.040001,26.120001,25.219999,25.549999,25.549999,42700
20151109,25.41,25.65,25.41,25.629999,25.629999,53700
20151110,25.719999,25.719999,25.450001,25.6,25.6,32000
20151111,25.67,25.780001,25.23,25.280001,25.280001,41900
20151112,25.01,25.200001,24.690001,24.74,24.74,42300
20151113,24.73,24.83,24.379999,24.68,24.68,35400
20151116,24.68,25.540001,24.629999,25.49,25.49,46900
20151117,25.5,25.719999,24.73,25.120001,25.120001,143700
20151118,25.370001,25.370001,24.809999,25.16,25.16,38900
20151119,25.389999,25.690001,25.35,25.57,25.57,26400
20151120,25.879999,25.889999,25.57,25.76,25.76,23800
20151123,25.76,25.76,25.5,25.58,25.58,30700
20151124,25.620001,25.639999,25.030001,25.209999,25.209999,93700
20151125,24.93,25.129999,24.5,24.969999,24.969999,157000
20151127,24.809999,25.18,24.790001,25.01,25.01,25800
20151130,25,25.209999,24.879999,25.1,25.1,37600
20151201,25.02,25.5,24.91,25.48,25.48,45900
20151202,25.549999,25.549999,24.940001,25.049999,25.049999,47600
20151203,24.959999,25.16,24.620001,24.65,24.65,28900
20151204,24.83,25.02,24.459999,24.57,24.57,60300
20151207,24.34,24.57,23.27,23.690001,23.690001,132500
20151208,23.290001,23.790001,22.889999,23.280001,23.280001,90800
20151209,23.25,23.77,23.030001,23.23,23.23,69900
20151210,23.190001,23.73,23.190001,23.559999,23.559999,64600
20151211,23.360001,23.389999,23,23.09,23.09,45700
20151214,23.110001,23.120001,22.540001,22.879999,22.879999,107200
20151215,22.879999,23.860001,22.879999,23.41,23.41,91400
20151216,23.51,24.76,23.48,24.73,24.73,99900
20151217,24.73,25.049999,24.5,25.02,25.02,73100
20151218,24.780001,26.1,24.719999,25.440001,25.440001,137100
20151221,25.84,25.99,24.84,24.92,24.92,50800
