Date,Open,High,Low,Close,Adj Close,Volume
20150901,54.900002,54.98,54.09,54.25,54.25,2493600
20150902,54.740002,54.75,53.57,53.860001,53.860001,1417400
20150903,53.939999,54.669998,53.790001,54.57,54.57,1335600
20150904,53.599998,54.119999,53.330002,53.419998,53.419998,1019500
20150908,54.889999,55.110001,54.490002,55.02,55.02,1089300
20150909,55.610001,56.150002,55.07,55.169998,55.169998,1248000
20150910,55,55.950001,54.98,55.639999,55.639999,1275900
20150911,55.599998,55.900002,55.139999,55.279999,55.279999,885700
20150914,55.240002,55.700001,55.130001,55.189999,55.189999,998600
20150915,55.290001,56.41,55.220001,56.18,56.18,1149700
20150916,56.279999,57.93,56.119999,57.799999,57.799999,1561000
20150917,57.560001,58.790001,57.560001,58,58,1512900
20150918,57.889999,57.91,56.470001,56.52,56.52,1381500
20150921,56.959999,58.130001,56.540001,57.91,57.91,2000500
20150922,57.16,57.16,55.799999,56.34,56.34,1661500
20150923,56.27,56.540001,54.990002,55,55,1310200
20150924,54.32,55.360001,54.02,55.009998,55.009998,1323200
20150925,55.59,56.529999,55.490002,55.869999,55.869999,1175400
20150928,55.610001,55.860001,54.91,55.029999,55.029999,1561100
20150929,55.009998,55.700001,54.790001,55.380001,55.380001,1224200
20150930,56.049999,56.77,55.740002,56.759998,56.759998,1771300
20151001,57.240002,57.700001,56.369999,56.959999,56.959999,1234600
20151002,56.369999,58.240002,56.310001,58.130001,58.130001,1099100
20151005,58.490002,59.27,58.299999,59.07,59.07,994500
20151006,59.009998,59.150002,58.669998,58.759998,58.759998,934700
20151007,59.259998,60.240002,59.16,59.970001,59.970001,1093100
20151008,60.040001,61.48,59.93,61.43,61.43,915800
20151009,61.380001,62.41,61.27,62.139999,62.139999,1457400
20151012,61.860001,62.049999,60.860001,61.439999,61.439999,689900
20151013,60.91,60.950001,59.869999,59.919998,59.919998,1336100
20151014,59.639999,60.18,59.310001,59.939999,59.939999,1118900
20151015,60.290001,60.869999,59.950001,60.48,60.48,1208200
20151016,60.509998,60.540001,59.41,59.57,59.57,1230600
20151019,59.369999,59.490002,58.93,59.220001,59.220001,866100
20151020,59.869999,60.610001,59.130001,60.490002,60.490002,1269600
20151021,60.630001,61.02,59.939999,60.040001,60.040001,687500
20151022,60.470001,61.759998,60.360001,61.610001,61.610001,1101900
20151023,61.48,61.970001,61.049999,61.779999,61.779999,914200
20151026,61.849998,62.580002,61.630001,62.119999,62.119999,981400
20151027,61.439999,61.48,59.450001,59.810001,59.810001,1116600
20151028,61.610001,62.740002,61.560001,62.009998,62.009998,1845500
20151029,61.790001,62.509998,61.689999,62.099998,62.099998,977000
20151030,62.099998,62.32,61.09,61.09,61.09,1548800
20151102,61.02,61.27,60.43,60.919998,60.919998,1629700
20151103,60.689999,61.09,60.380001,60.880001,60.880001,1322800
20151104,61.040001,61.25,60.099998,60.419998,60.419998,1210400
20151105,60.52,60.98,59.740002,59.830002,59.830002,957300
20151106,59.509998,59.82,58.349998,59.119999,59.119999,911200
20151109,58.98,60.66,57.150002,59.720001,59.720001,3057500
20151110,59.200001,59.369999,57.950001,58.75,58.75,1450500
20151111,58.939999,59.169998,58.59,58.810001,58.810001,813400
20151112,58.150002,58.150002,57.43,57.720001,57.720001,1019900
20151113,57.580002,58.07,57.240002,57.369999,57.369999,1038400
20151116,57.310001,57.970001,56.98,57.619999,57.619999,819600
20151117,57.799999,58.150002,56.93,57.82,57.82,700700
20151118,58.34,59.709999,58.049999,59.099998,59.099998,1199800
20151119,59.200001,60.110001,58.889999,60.07,60.07,958600
20151120,60.130001,60.59,59.630001,60.200001,60.200001,1053300
20151123,59.959999,60.360001,59.09,59.189999,59.189999,811700
20151124,58.84,59.009998,58.360001,58.669998,58.669998,1362100
20151125,58.900002,59.540001,58.709999,59.029999,59.029999,809700
20151127,59.34,59.799999,59.119999,59.720001,59.720001,470300
20151130,59.73,60.110001,59.349998,59.75,59.75,1116400
20151201,59.759998,60.27,59.400002,59.970001,59.970001,858300
20151202,59.740002,60.02,58.52,58.720001,58.720001,1140300
20151203,58.970001,58.970001,57.18,57.470001,57.470001,1156900
20151204,57.099998,57.619999,56.689999,56.939999,56.939999,1518800
20151207,56.349998,56.540001,54.919998,54.98,54.98,1887700
