Date,Open,High,Low,Close,Adj Close,Volume
20150901,60.1909,60.9105,59.9885,60.3258,60.3258,1607290
20150902,61.1983,62.0258,60.9015,62.0258,62.0258,1683029
20150903,62.2327,62.6464,62.0798,62.2507,62.2507,1702276
20150904,61.621,62.3226,61.2882,61.8639,61.8639,1478605
20150908,62.9792,63.4109,62.2776,63.339,63.339,1510761
20150909,63.8786,63.8786,61.8999,62.0258,62.0258,1229445
20150910,62.1337,62.9882,61.8844,62.6644,62.6644,1123324
20150911,62.5655,63.2041,62.0798,63.1771,63.1771,1294001
20150914,63.375,63.7797,62.9342,63.1411,63.1411,1513641
20150915,63.285,63.5504,62.3946,62.9972,62.9972,2089672
20150916,63.0781,63.2041,61.3152,62.3586,62.3586,2377160
20150917,62.3316,64.2024,62.1427,63.2131,63.2131,2768848
20150918,62.6284,63.3929,62.1247,62.4755,62.4755,4059103
20150921,62.8083,63.5009,62.6914,63.2041,63.2041,2022023
20150922,62.2507,62.7364,60.5237,62.6824,62.6824,3037149
20150923,62.8893,64.2654,62.6824,63.9596,63.9596,2611839
20150924,63.6628,64.4633,62.9072,64.2744,64.2744,1673959
20150925,64.4633,64.859,63.3075,63.6448,63.6448,2641790
20150928,63.5369,63.5908,61.0994,61.2613,61.2613,2094171
20150929,61.4232,61.756,60.4608,61.0634,61.0634,2011702
20150930,61.666,62.2866,60.8745,61.648,61.648,1813756
20151001,61.648,62.0618,60.8925,61.5401,61.5401,1510480
20151002,60.8925,61.63,60.3078,61.63,61.63,1291859
20151005,61.9988,62.0348,61.1533,61.5851,61.5851,1606211
20151006,61.4501,61.9089,60.9375,61.1084,61.1084,2135826
20151007,60.4787,60.7846,59.3275,59.7502,59.7502,2092662
20151008,59.2285,60.4158,58.7248,60.047,60.047,2601873
20151009,59.9031,60.4428,59.5883,59.9751,59.9751,1483205
20151012,59.6962,60.2069,59.4354,59.5883,59.5883,1664447
20151013,59.3994,60.3888,59.3637,59.7412,59.7412,1214613
20151014,59.7772,59.993,57.0698,57.3487,57.3487,2393044
20151015,57.3757,57.5825,56.2873,57.3846,57.3846,2113770
20151016,57.5465,58.6978,57.3667,58.5899,58.5899,2116511
20151019,58.9677,59.5433,58.5989,59.0936,59.0936,1540294
20151020,58.8418,59.009,57.2947,57.3217,57.3217,1826546
20151021,57.3936,57.7534,56.1254,56.4852,56.4852,1745628
20151022,57.0249,57.6725,56.1884,57.6455,57.6455,1479515
20151023,57.9873,58.1672,56.809,57.4836,57.4836,1200460
20151026,57.5465,58.2751,57.4387,58.2031,58.2031,1539881
20151027,57.6455,58.2751,56.6741,56.863,56.863,1540890
20151028,57.0878,58.365,56.881,58.3291,58.3291,794137
20151029,57.9153,57.9153,55.8736,56.1524,56.1524,2048590
20151030,56.3053,56.5482,55.6307,55.6667,55.6667,1725651
20151102,55.7656,56.5662,55.5498,56.3593,56.3593,1612458
20151103,56.0175,56.3233,55.9365,56.2603,56.2603,1071259
20151104,56.3233,56.5212,54.5694,55.244,55.244,2183532
20151105,55.271,55.6037,54.8752,55.5678,55.5678,1009079
20151106,55.3519,55.5498,54.7223,55.5048,55.5048,1051315
20151109,55.2799,55.4508,53.7779,55.19,55.19,2169783
20151110,55.19,55.19,53.38,54.68,54.68,2861252
20151111,55.02,55.99,54.45,55.51,55.51,2004743
20151112,56.12,58.65,55.04,55.13,55.13,2045404
20151113,55.09,55.4,54.25,54.34,54.34,1258531
20151116,54.17,54.33,53.51,53.97,53.97,1541504
20151117,54.1,55.32,53.83,53.93,53.93,1403128
20151118,53.8,54.24,53.52,53.99,53.99,2233138
20151119,54.24,54.83,53.89,54.42,54.42,1271638
20151120,54.63,55.32,54.57,55.13,55.13,1399177
