Date,Open,High,Low,Close,Adj Close,Volume
20150901,13.95,14.15,13.6,13.72,13.72,50482900
20150902,13.99,14,13.63,13.87,13.87,29602800
20150903,13.94,14.07,13.78,13.84,13.84,27560400
20150904,13.68,13.7,13.4,13.56,13.56,31138400
20150908,13.77,13.78,13.54,13.67,13.67,30030100
20150909,13.81,13.84,13.47,13.53,13.53,30846300
20150910,13.52,13.83,13.35,13.73,13.73,38696300
20150911,13.75,13.81,13.53,13.71,13.71,22804500
20150914,13.72,13.79,13.63,13.78,13.78,26093500
20150915,13.8,14.37,13.79,14.31,14.31,46666700
20150916,14.32,14.76,14.25,14.64,14.64,41675000
20150917,14.61,14.88,14.46,14.6,14.6,37709000
20150918,14.44,14.48,14.21,14.28,14.28,40712200
20150921,14.2,14.43,14.15,14.32,14.32,20764100
20150922,14.01,14.05,13.73,13.92,13.92,44081000
20150923,13.93,13.95,13.51,13.68,13.68,31598400
20150924,13.57,13.7,13.27,13.65,13.65,32462000
20150925,13.87,13.87,13.51,13.53,13.53,35967400
20150928,13.46,13.51,13.06,13.12,13.12,41124700
20150929,13.14,13.21,13.01,13.15,13.15,44417400
20150930,13.37,13.58,13.27,13.57,13.57,40205300
20151001,13.76,13.78,13.47,13.67,13.67,33326900
20151002,13.5,14.01,13.42,13.99,13.99,30097000
20151005,14.12,14.27,13.9,14.19,14.19,38611900
20151006,14.19,14.44,14.15,14.31,14.31,27045900
20151007,14.49,14.75,14.46,14.75,14.75,33389600
20151008,14.72,15.01,14.68,14.99,14.99,25994700
20151009,15.03,15.1,14.82,14.97,14.97,29216500
20151012,14.98,15,14.85,14.98,14.98,14372100
20151013,14.88,15.1,14.83,14.94,14.94,30615400
20151014,14.94,15.04,14.86,15.01,15.01,22314500
20151015,15.2,15.23,14.99,15.22,15.22,27437600
20151016,15.25,15.29,15.11,15.28,15.28,24240500
20151019,15.23,15.36,15.15,15.36,15.36,17863000
20151020,15.27,15.6,15.27,15.38,15.38,29037300
20151021,15.6,15.69,15.35,15.41,15.41,34039800
20151022,15.49,15.63,15.4,15.58,15.58,23484400
20151023,15.71,15.75,15.49,15.67,15.67,28592800
20151026,15.73,15.84,15.57,15.68,15.68,38062300
20151027,15.01,15.15,14.8,14.89,14.89,64579700
20151028,14.78,15,14.67,14.97,14.97,34485300
20151029,14.94,14.96,14.61,14.73,14.73,32247000
20151030,14.74,14.95,14.63,14.81,14.81,29225800
20151102,14.79,14.9,14.71,14.75,14.75,30295900
20151103,14.78,14.87,14.72,14.81,14.81,25878800
20151104,14.83,14.86,14.64,14.65,14.65,27166400
20151105,14.7,14.71,14.5,14.57,14.57,21877700
20151106,14.51,14.55,14.38,14.52,14.52,24085700
20151109,14.52,14.53,14.26,14.33,14.33,25257400
20151110,14.33,14.34,14.14,14.28,14.28,22197200
20151111,14.28,14.38,14.18,14.31,14.31,16893000
20151112,14.21,14.27,14.02,14.04,14.04,20283700
20151113,14.02,14.07,13.89,13.92,13.92,25482700
20151116,13.85,14.08,13.85,14.04,14.04,22636000
20151117,14.02,14.37,14.01,14.15,14.15,25188600
20151118,14.23,14.5,14.18,14.46,14.46,26250400
20151119,14.45,14.63,14.42,14.57,14.57,23593800
20151120,14.62,14.76,14.54,14.6,14.6,18906200
20151123,14.6,14.73,14.51,14.55,14.55,18273900
20151124,14.41,14.63,14.32,14.55,14.55,21251800
20151125,14.54,14.68,14.52,14.55,14.55,12627000
20151127,14.54,14.59,14.5,14.53,14.53,7760600
20151130,14.54,14.55,14.29,14.33,14.33,27860300
20151201,14.32,14.56,14.29,14.56,14.56,29142200
20151202,14.6,14.62,14.24,14.26,14.26,21398100
20151203,14.31,14.34,13.93,13.98,13.98,29847300
20151204,14.08,14.26,14,14.2,14.2,28354100
20151207,14.19,14.2,14.02,14.12,14.12,14530600
20151208,14.03,14.1,13.88,13.97,13.97,30356900
20151209,13.91,14.14,13.8,13.89,13.89,25196900
20151210,13.91,14.09,13.89,13.96,13.96,22025200
20151211,13.84,13.92,13.58,13.64,13.64,29576400
20151214,13.66,13.74,13.4,13.62,13.62,26825200
20151215,13.74,14,13.72,13.87,13.87,43728500
20151216,14,14.36,13.99,14.36,14.36,40683800
20151217,14.37,14.38,13.95,13.98,13.98,26179800
20151218,13.88,13.91,13.72,13.8,13.8,40453000
20151221,13.89,13.95,13.67,13.73,13.73,31598000
20151222,13.93,14.25,13.9,14.2,14.2,50646600
20151223,14.27,14.38,14.26,14.36,14.36,22172300
20151224,14.35,14.37,14.25,14.31,14.31,9000100
20151228,14.28,14.34,14.16,14.18,14.18,13697500
20151229,14.28,14.3,14.15,14.23,14.23,18867800
20151230,14.23,14.26,14.12,14.17,14.17,13800300
20151231,14.14,14.16,14.04,14.09,14.09,19834600
20160104,13.87,14,13.75,13.97,13.97,38618500
20160105,13.97,14,13.51,13.72,13.72,50267500
20160106,13.56,13.56,13.05,13.11,13.11,61285500
20160107,12.9,13.04,12.6,12.7,12.7,57846700
20160108,13.05,13.1,12.5,12.54,12.54,46199400
20160111,12.8,12.82,12.55,12.77,12.77,41269100
20160112,13.03,13.04,12.58,12.85,12.85,50983700
20160113,12.73,12.84,12.06,12.2,12.2,102174700
20160114,12.19,12.31,11.82,12.19,12.19,62938600
20160115,11.81,12,11.58,11.97,11.97,68051700
20160119,12.15,12.16,11.82,11.95,11.95,41142600
20160120,11.79,12.07,11.47,11.9,11.9,59879000
20160121,12.01,12.28,11.86,12.01,12.01,48841800
20160122,12.26,12.36,12.03,12.14,12.14,44537800
20160125,12.3,12.31,11.93,11.98,11.98,96738600
20160126,12.14,12.3,12.04,12.26,12.26,45969800
20160127,12.05,12.1,11.73,11.85,11.85,42064200
20160128,12.03,12.06,11.2,11.71,11.71,75699800
20160129,11.83,11.94,11.65,11.94,11.94,52137400
20160201,11.92,12.14,11.73,12.07,12.07,37301200
20160202,11.95,12.08,11.45,11.51,11.51,55649200
20160203,11.67,11.68,11.02,11.46,11.46,69454600
20160204,11.37,11.69,11.26,11.53,11.53,40223100
20160205,11.52,11.7,11.42,11.45,11.45,33322200
20160208,11.39,11.69,11.25,11.59,11.59,45274500
20160209,11.47,11.61,11.22,11.35,11.35,48956800
20160210,11.46,11.57,11.33,11.34,11.34,38160300
20160211,11.17,11.43,11.1,11.17,11.17,45801300
20160212,11.25,11.58,11.18,11.55,11.55,28085000
20160216,11.75,11.88,11.53,11.87,11.87,41072100
20160217,11.99,12.3,11.98,12.27,12.27,37766400
20160218,12.4,12.44,12.12,12.26,12.26,28784700
20160219,12.19,12.22,12.01,12.1,12.1,26479300
20160222,12.1,12.56,12.1,12.56,12.56,33549700
20160223,12.53,12.65,12.42,12.42,12.42,30136700
20160224,12.11,12.11,11.6,12.08,12.08,60608400
20160225,12.11,12.4,12.05,12.39,12.39,32024800
20160226,12.52,12.59,12.4,12.47,12.47,30228800
20160229,12.42,12.65,12.39,12.51,12.51,32999100
20160301,13.01,13.12,12.72,13.09,13.09,71523900
20160302,13.06,13.35,13.04,13.22,13.22,36598200
20160303,13.25,13.61,13.24,13.54,13.54,44524500
20160304,13.56,13.86,13.43,13.59,13.59,31818600
20160307,13.46,13.74,13.45,13.62,13.62,26131400
20160308,13.51,13.58,13.15,13.23,13.23,34770600
20160309,13.25,13.32,13.01,13.19,13.19,34146200
20160310,13.25,13.28,12.92,13.15,13.15,39076500
20160311,13.26,13.3,13.2,13.29,13.29,27583000
20160314,13.28,13.37,13.18,13.27,13.27,20609600
20160315,13.12,13.24,13.05,13.23,13.23,27729900
20160316,13.21,13.51,13.18,13.5,13.5,47035000
20160317,13.47,13.68,13.39,13.47,13.47,31521700
20160318,13.54,13.7,13.49,13.64,13.64,32182400
20160321,13.64,13.76,13.56,13.66,13.66,20905200
20160322,13.65,13.73,13.51,13.59,13.59,26148000
20160323,13.57,13.61,13.19,13.26,13.26,31535500
20160324,13.11,13.12,12.78,13.06,13.06,36203200
