Date,Open,High,Low,Close,Adj Close,Volume
20150901,86.849998,89.389999,86.5,87.230003,87.230003,36097400
20150902,88.809998,89.889999,87.629997,89.889999,89.889999,27190500
20150903,89.760002,89.82,87.730003,88.150002,88.150002,27048200
20150904,87.199997,88.389999,86.699997,88.260002,88.260002,27328700
20150908,89.690002,90.239998,88.830002,89.529999,89.529999,27012500
20150909,90.779999,91.980003,90.169998,90.440002,90.440002,32551100
20150910,90.07,92.059998,89.629997,91.980003,91.980003,26437400
20150911,91.68,92.080002,91.129997,92.050003,92.050003,21185000
20150914,92.309998,92.620003,91.599998,92.309998,92.309998,20127900
20150915,92.370003,93.25,91.790001,92.900002,92.900002,18859400
20150916,92.900002,93.599998,92.629997,93.449997,93.449997,16321200
20150917,93.370003,95.510002,92.900002,94.339996,94.339996,27841800
20150918,93.199997,95.190002,93.050003,94.400002,94.400002,62300000
20150921,94.620003,96.489998,94.519997,95.550003,95.550003,28790000
20150922,93.769997,94.68,91.919998,92.959999,92.959999,36888900
20150923,93.400002,94.32,92.800003,93.970001,93.970001,21701400
20150924,93.059998,94.769997,92.239998,94.410004,94.410004,29106000
20150925,95.790001,95.849998,92.059998,92.769997,92.769997,28961600
20150928,92.080002,92.290001,88.18,89.209999,89.209999,41199900
20150929,89.099998,90.059998,85.720001,86.669998,86.669998,42281800
20150930,88.440002,90.019997,88.010002,89.900002,89.900002,36169100
20151001,90.050003,90.949997,88.360001,90.949997,90.949997,29283700
20151002,88.900002,92.199997,88.370003,92.07,92.07,37881700
20151005,92.940002,94.269997,92.660004,94.010002,94.010002,27292500
20151006,94.080002,94.169998,92.339996,92.800003,92.800003,22172800
20151007,93.110001,93.660004,91.370003,92.400002,92.400002,24129300
20151008,91.889999,93.220001,90.470001,92.470001,92.470001,27290500
20151009,92.900002,93.739998,92.239998,93.239998,93.239998,20012900
20151012,93.32,94.599998,92.669998,94.260002,94.260002,18449600
20151013,93.660004,95.370003,93.550003,94.120003,94.120003,19480300
20151014,94.080002,95.199997,93.610001,94.07,94.07,19253400
20151015,94.989998,96.300003,94.900002,95.959999,95.959999,27557500
20151016,96.18,97.589996,95.349998,97.540001,97.540001,25412900
20151019,97.18,98.57,96.919998,98.470001,98.470001,23729900
20151020,98.730003,99.589996,96.559998,97,97,30700500
20151021,97.370003,98.18,96.470001,97.110001,97.110001,21917800
20151022,97.790001,99.730003,97.550003,99.669998,99.669998,26392100
20151023,101.910004,102.849998,100.160004,102.190002,102.190002,42809700
20151026,102.199997,103.809998,101.550003,103.769997,103.769997,25961200
20151027,102.940002,104.099998,102.400002,103.699997,103.699997,23795500
20151028,103.900002,104.480003,102.919998,104.199997,104.199997,24081500
20151029,103.959999,105.120003,103.519997,104.879997,104.879997,20316700
20151030,104.510002,104.720001,101.650002,101.970001,101.970001,33487100
20151102,101.720001,103.470001,101.18,103.309998,103.309998,24003900
20151103,103.220001,103.650002,102.400002,102.580002,102.580002,21242300
20151104,103.190002,104.139999,102.480003,103.940002,103.940002,43469300
20151105,108.800003,110.650002,107.949997,108.760002,108.760002,63232900
20151106,108.040001,108.739998,105.910004,107.099998,107.099998,35084300
20151109,107,108.25,105.860001,106.489998,106.489998,26383500
20151110,105.959999,108.150002,105.239998,107.910004,107.910004,25031700
20151111,108.269997,109.870003,107.110001,109.010002,109.010002,25057100
20151112,108.480003,109.389999,108,108.019997,108.019997,20924700
20151113,107.709999,108.25,103.830002,103.949997,103.949997,30278400
20151116,103.32,104.169998,100.470001,104.040001,104.040001,49309200
20151117,104.620003,106.199997,104.139999,105.129997,105.129997,26807200
20151118,105.800003,107.879997,105.389999,107.769997,107.769997,23836500
20151119,107.360001,107.730003,105.949997,106.260002,106.260002,25520600
20151120,106.839996,107.870003,106.620003,107.32,107.32,22129600
20151123,107.190002,107.470001,106.080002,106.949997,106.949997,19897200
20151124,106,106.489998,104.389999,105.739998,105.739998,23577300
20151125,106.330002,106.599998,105.099998,105.410004,105.410004,15150800
20151127,105.779999,105.959999,104.860001,105.449997,105.449997,5913100
20151130,105.839996,106.099998,103.75,104.239998,104.239998,20383200
20151201,104.830002,107.150002,104.5,107.120003,107.120003,22781900
20151202,107,107.919998,105.790001,106.07,106.07,24429100
20151203,106.269997,106.849998,103.349998,104.379997,104.379997,23236500
20151204,104.809998,107.730003,104.110001,106.18,106.18,21224700
20151207,106.480003,106.830002,104.660004,105.610001,105.610001,15474900
20151208,104,106.910004,103.949997,106.489998,106.489998,20401800
20151209,106.18,106.440002,103.550003,104.599998,104.599998,23517300
20151210,105.050003,106.400002,104.410004,105.419998,105.419998,17414500
20151211,104.150002,104.339996,101.910004,102.120003,102.120003,26427700
20151214,102.290001,104.739998,101.459999,104.660004,104.660004,24648100
20151215,105.300003,105.800003,104.279999,104.550003,104.550003,21764300
20151216,105.370003,107.089996,104.190002,106.790001,106.790001,22680500
20151217,107.489998,107.75,106.129997,106.220001,106.220001,21675700
20151218,106.080002,106.589996,103.970001,104.040001,104.040001,35994200
20151221,104.910004,105.150002,103.599998,104.769997,104.769997,16138800
