Date,Open,High,Low,Close,Adj Close,Volume
20150901,52.110001,52.32,50.529999,50.990002,50.990002,28031700
20150902,52.490002,52.490002,51.27,51.990002,51.990002,20919600
20150903,52.389999,53,52.220001,52.43,52.43,15719000
20150904,51.799999,51.82,50.759998,51.290001,51.290001,22303800
20150908,52.650002,52.98,51.98,52.93,52.93,19685400
20150909,53.610001,53.700001,52.02,52.189999,52.189999,16221500
20150910,52.07,52.860001,51.799999,52.560001,52.560001,17996200
20150911,52.34,52.66,52.029999,52.619999,52.619999,12549400
20150914,52.630001,52.880001,52.41,52.77,52.77,16225600
20150915,53.040001,53.790001,52.82,53.470001,53.470001,14305500
20150916,53.52,53.889999,52.900002,53.720001,53.720001,15218500
20150917,53.700001,53.91,52.029999,52.209999,52.209999,25025800
20150918,51.27,51.48,50.700001,51.040001,51.040001,39561600
20150921,51.52,51.75,51.18,51.549999,51.549999,16673300
20150922,50.869999,51.150002,50.330002,50.689999,50.689999,21761300
20150923,50.880001,50.939999,50.5,50.779999,50.779999,12521200
20150924,50.09,50.68,49.799999,50.549999,50.549999,17064300
20150925,51.360001,51.869999,51.07,51.48,51.48,18394800
20150928,51.07,51.299999,50.200001,50.369999,50.369999,17647900
20150929,50.470001,50.959999,50,50.889999,50.889999,20816400
20150930,51.630001,51.720001,50.700001,51.349998,51.349998,20514800
20151001,51.509998,51.860001,50.919998,51.439999,51.439999,15556600
20151002,50.279999,51.290001,49.509998,51.259998,51.259998,21630300
20151005,51.709999,52.57,51.5,52.41,52.41,15240700
20151006,52.18,52.540001,51.919998,52.029999,52.029999,14490700
20151007,52.490002,52.73,51.91,52.189999,52.189999,13863500
20151008,52.23,52.59,51.77,52.540001,52.540001,15384100
20151009,53.02,53.07,51.98,52.139999,52.139999,16983100
20151012,52.119999,52.43,51.75,52.18,52.18,10639000
20151013,52.02,52.310001,51.709999,51.860001,51.860001,16002200
20151014,51.700001,51.900002,50.740002,51.5,51.5,26269100
20151015,51.98,52.700001,51.759998,52.689999,52.689999,18262400
20151016,53.150002,53.189999,52.509998,52.880001,52.880001,15676300
20151019,52.759998,53.009998,52.450001,52.560001,52.560001,15515700
20151020,52.619999,53.290001,52.580002,53.080002,53.080002,13504300
20151021,53.040001,53.860001,53.029999,53.119999,53.119999,17666700
20151022,53.400002,54.450001,53.400002,54.060001,54.060001,18263200
20151023,54.34,54.799999,54.110001,54.75,54.75,16924800
20151026,54.759998,54.810001,54.16,54.290001,54.290001,12661400
20151027,53.98,54.330002,53.82,54.119999,54.119999,12443900
20151028,54.240002,55.5,54.169998,55.450001,55.450001,16681600
20151029,55.389999,55.57,54.91,55.09,55.09,11334900
20151030,55.07,55.07,54.029999,54.139999,54.139999,18450500
20151102,54.209999,55.02,54.130001,54.849998,54.849998,10992300
20151103,54.68,55.150002,54.450001,54.93,54.93,10709100
20151104,54.560001,54.75,54.380001,54.580002,54.580002,12823600
20151105,54.349998,55.080002,54.349998,54.860001,54.860001,12263900
20151106,56.040001,56.34,55.560001,55.849998,55.849998,22376800
20151109,56.080002,56.220001,55.139999,55.470001,55.470001,17609700
20151110,55.299999,55.959999,55.23,55.91,55.91,13475900
20151111,56.130001,56.169998,55.509998,55.799999,55.799999,10808500
